feature,importance
problem_difficulty,0.5102029835868808
rolling_avg_10,0.10507776255266055
log_response_time,0.07965001556093487
rolling_avg_5,0.07158500059722016
streak,0.03594896647910343
normalized_position,0.03240042789953092
skill_prev_correct,0.029618205482463477
skill_attempt_count,0.027671808433448013
skill_popularity,0.023165187920866703
skill_id,0.022183754432358885
prev_correct,0.016416690749569356
time_since_last,0.015887512017070757
prev_2_correct,0.014831296540245719
prev_3_correct,0.013279062971313906
is_top_skill,0.0020813247763324474
