problem_id,attempts,difficulty,skill
1,1,0.0,Point Plotting
2,1,0.0,Point Plotting
3,1,0.0,Point Plotting
13,7,1.0,Square Root
14,38,0.39473684210526316,Graph Shape
15,37,0.5675675675675675,Graph Shape
16,391,0.7902813299232737,Graph Shape
33,5,0.4,Square Root
34,3,1.0,Square Root
35,3,0.3333333333333333,Square Root
36,3,1.0,Square Root
37,3,1.0,Square Root
38,3,1.0,Square Root
39,3,0.6666666666666666,Square Root
40,3,1.0,Square Root
41,326,0.7638036809815951,Square Root
48,2,0.5,Fraction Of
49,2,0.5,Equivalent Fractions
53,10,0.9,Multiplication and Division Positive Decimals
58,1,1.0,Complementary and Supplementary Angles
59,1,1.0,Angles on Parallel Lines Cut by a Transversal
60,1,0.0,Properties and Classification Triangles
72,1,0.0,Angles on Parallel Lines Cut by a Transversal
73,1,0.0,Complementary and Supplementary Angles
75,4,0.0,Venn Diagram
76,2,0.0,Venn Diagram
77,1,0.0,Percent Of
83,1,0.0,Estimation
85,1,0.0,Equivalent Fractions
110,3,0.3333333333333333,Square Root
111,3,0.3333333333333333,Square Root
112,3,0.6666666666666666,Square Root
113,3,0.6666666666666666,Square Root
114,3,1.0,Square Root
115,3,1.0,Square Root
116,3,1.0,Square Root
117,285,0.8842105263157894,Square Root
132,5,0.8,Properties and Classification Triangles
133,2,0.5,Perimeter of a Polygon
160,3,0.0,Percent Increase or Decrease
161,3,0.0,Percent Increase or Decrease
162,3,0.3333333333333333,Percent Increase or Decrease
163,48,0.625,Percent Increase or Decrease
164,40,0.1,Percent Increase or Decrease
165,40,0.25,Percent Increase or Decrease
166,127,0.5354330708661418,Percent Increase or Decrease
172,1,1.0,Perimeter of a Polygon
173,1,0.0,Perimeter of a Polygon
175,146,0.15753424657534246,Number Line
176,143,0.3146853146853147,Number Line
177,140,0.38571428571428573,Number Line
178,804,0.7064676616915423,Number Line
213,1,0.0,Complementary and Supplementary Angles
224,1,0.0,Least Common Multiple
225,1,0.0,Equivalent Fractions
226,1,0.0,Equivalent Fractions
227,1,0.0,Equivalent Fractions
232,65,0.8153846153846154,Pattern Finding
233,63,0.9206349206349206,Pattern Finding
234,58,0.7931034482758621,Pattern Finding
235,45,0.4666666666666667,Pattern Finding
236,40,0.275,Pattern Finding
237,40,0.425,Pattern Finding
238,40,0.45,Pattern Finding
239,152,0.47368421052631576,Pattern Finding
249,2,0.0,Estimation
326,4,0.75,Picking Equation and Inequality from Choices
327,4,1.0,Picking Equation and Inequality from Choices
328,4,0.5,Picking Equation and Inequality from Choices
329,4,0.75,Picking Equation and Inequality from Choices
330,49,0.8163265306122449,Picking Equation and Inequality from Choices
339,47,0.3191489361702128,Substitution
340,43,0.4883720930232558,Substitution
341,43,0.5581395348837209,Substitution
342,488,0.6782786885245902,Substitution
357,6,0.6666666666666666,Unit Conversion Within a System
358,5,0.4,Effect of Changing Dimensions of a Shape Prportionally
360,2,0.0,Unit Conversion Within a System
365,36,0.5555555555555556,Picking Equation and Inequality from Choices
366,1,0.0,Interior Angles Figures with More than 3 Sides
399,4,0.25,Unit Rate
400,5,0.2,Unit Rate
405,53,0.20754716981132076,Substitution
406,39,0.38461538461538464,Substitution
407,38,0.47368421052631576,Substitution
408,38,0.5789473684210527,Substitution
409,459,0.6993464052287581,Substitution
453,19,0.47368421052631576,Number Line
454,18,0.6111111111111112,Number Line
455,292,0.8595890410958904,Number Line
482,249,0.7951807228915663,Number Line
523,48,0.3333333333333333,Number Line
524,45,0.5333333333333333,Number Line
525,359,0.7465181058495822,Number Line
583,3,0.3333333333333333,Pattern Finding
584,3,0.0,Pattern Finding
585,3,0.0,Pattern Finding
586,41,0.7560975609756098,Pattern Finding
594,10,0.4,Pattern Finding
595,10,0.5,Pattern Finding
596,10,0.7,Pattern Finding
597,30,0.4,Pattern Finding
640,24,0.5,Pattern Finding
641,21,0.5238095238095238,Pattern Finding
642,19,0.3684210526315789,Pattern Finding
643,18,0.6111111111111112,Pattern Finding
644,17,0.6470588235294118,Pattern Finding
645,18,0.1111111111111111,Pattern Finding
646,63,0.4603174603174603,Pattern Finding
648,1,1.0,Pattern Finding
649,1,0.0,Pattern Finding
650,1,1.0,Pattern Finding
651,3,0.3333333333333333,Pattern Finding
652,1,1.0,Pattern Finding
653,1,0.0,Pattern Finding
654,1,0.0,Pattern Finding
655,1,0.0,Pattern Finding
656,5,0.6,Pattern Finding
657,1,1.0,Pattern Finding
658,1,1.0,Pattern Finding
659,1,1.0,Pattern Finding
660,1,1.0,Pattern Finding
661,1,0.0,Pattern Finding
662,3,0.3333333333333333,Pattern Finding
669,1,0.0,Pattern Finding
677,4,0.5,Pattern Finding
807,5,0.2,Percent Of
808,6,0.5,Percent Of
809,6,0.8333333333333334,Percent Of
810,14,0.07142857142857142,Percent Of
813,36,0.5555555555555556,Addition and Subtraction Positive Decimals
814,221,0.8099547511312217,Addition and Subtraction Positive Decimals
819,3,1.0,Square Root
820,15,0.5333333333333333,Proportion
821,16,0.625,Proportion
822,54,0.6666666666666666,Proportion
823,37,0.43243243243243246,Proportion
824,37,0.7567567567567568,Proportion
825,37,0.8918918918918919,Proportion
826,73,0.5068493150684932,Proportion
831,27,0.8518518518518519,Inverse Relations
832,30,0.43333333333333335,Inverse Relations
833,97,0.32989690721649484,Inverse Relations
837,14,0.2857142857142857,Scientific Notation
838,14,0.5714285714285714,Scientific Notation
839,224,0.6517857142857143,Scientific Notation
844,3,1.0,Exponents
845,2,0.5,Exponents
846,7,0.42857142857142855,Exponents
847,39,0.4358974358974359,Finding Percents
848,36,0.25,Finding Percents
849,392,0.7551020408163265,Finding Percents
860,1,1.0,Percent Of
865,26,0.6538461538461539,Multiplication Fractions
880,1,0.0,Division Fractions
883,2,0.0,Square Root
884,2,0.0,Square Root
885,7,0.7142857142857143,Square Root
890,7,0.14285714285714285,Square Root
891,8,1.0,Square Root
892,8,1.0,Square Root
893,8,1.0,Square Root
894,375,0.9066666666666666,Square Root
895,3,0.6666666666666666,Multiplication and Division Positive Decimals
